player_id,player_name,player_job,player_god,kills,deaths,blessings,kd_ratio,score,last_position,last_battle_time,last_updated
994,l局长的大奶l,,梵天,1,0,0,1,3.0,"514,428",2025-03-22 10:20:57,2025-03-22 18:34:14
1089,梵※高,金刚,梵天,1,0,0,1,3.0,"453,470",2025-03-22 10:07:32,2025-03-22 18:34:16
38,∝小红绳,魔咒法师,梵天,1,0,0,1,3.0,"503,441",2025-03-22 10:20:56,2025-03-22 18:34:12
1031,Quamx,,比湿奴,1,0,0,1,3.0,"435,512",2025-03-22 09:54:01,2025-03-22 18:34:14
38,∝小红绳,魔咒法师,梵天,1,0,0,1,3.0,"453,474",2025-03-22 10:20:17,2025-03-22 18:34:12
258,秋日的思绪,法师,比湿奴,1,0,0,1,3.0,"457,457",2025-03-22 10:07:07,2025-03-22 18:34:12
38,∝小红绳,魔咒法师,梵天,1,0,0,1,3.0,"448,480",2025-03-22 10:20:12,2025-03-22 18:34:12
1039,ぐ狂γ飙べ,,比湿奴,1,0,0,1,3.0,"447,483",2025-03-22 09:59:04,2025-03-22 18:34:14
36,灬聖域乂随风灬,金刚,梵天,1,0,0,1,3.0,"453,477",2025-03-22 10:19:51,2025-03-22 18:34:12
1031,Quamx,,比湿奴,1,0,0,1,3.0,"461,454",2025-03-22 10:06:58,2025-03-22 18:34:14
994,l局长的大奶l,,梵天,1,0,0,1,3.0,"457,485",2025-03-22 10:19:35,2025-03-22 18:34:14
36,灬聖域乂随风灬,金刚,梵天,1,0,0,1,3.0,"436,515",2025-03-22 09:54:43,2025-03-22 18:34:12
38,∝小红绳,魔咒法师,梵天,1,0,0,1,3.0,"448,490",2025-03-22 10:19:26,2025-03-22 18:34:12
1084,眩晕伱の小可爱,,比湿奴,1,0,0,1,3.0,"457,466",2025-03-22 10:06:46,2025-03-22 18:34:16
1031,Quamx,,比湿奴,1,0,0,1,3.0,"464,466",2025-03-22 10:18:52,2025-03-22 18:34:14
1039,ぐ狂γ飙べ,,比湿奴,1,0,0,1,3.0,"449,485",2025-03-22 09:58:58,2025-03-22 18:34:14
1039,ぐ狂γ飙べ,,比湿奴,1,0,0,1,3.0,"447,468",2025-03-22 10:18:42,2025-03-22 18:34:14
36,灬聖域乂随风灬,金刚,梵天,1,0,0,1,3.0,"454,469",2025-03-22 10:06:45,2025-03-22 18:34:12
1039,ぐ狂γ飙べ,,比湿奴,1,0,0,1,3.0,"443,474",2025-03-22 10:18:23,2025-03-22 18:34:14
28,Angel丶黛薰,暗夜侠,比湿奴,1,0,0,1,3.0,"435,521",2025-03-22 09:53:15,2025-03-22 18:34:12
1039,ぐ狂γ飙べ,,比湿奴,1,0,0,1,3.0,"454,472",2025-03-22 10:18:02,2025-03-22 18:34:14
43,笙歌君独幽,护法,梵天,1,0,0,1,3.0,"443,494",2025-03-22 10:06:25,2025-03-22 18:34:12
1039,ぐ狂γ飙べ,,比湿奴,1,0,0,1,3.0,"449,478",2025-03-22 10:17:43,2025-03-22 18:34:14
1089,梵※高,金刚,梵天,1,0,0,1,3.0,"433,513",2025-03-22 09:58:38,2025-03-22 18:34:16
1084,眩晕伱の小可爱,,比湿奴,1,0,0,1,3.0,"448,490",2025-03-22 10:16:09,2025-03-22 18:34:16
28,Angel丶黛薰,暗夜侠,比湿奴,1,0,0,1,3.0,"467,453",2025-03-22 10:06:07,2025-03-22 18:34:12
